product_name_en,catalogues,Short_name_en,product_name_hi,short_name_hi,vendor_product_id,pack_type,mrp,product_cost,brand_discount_type,brand_discount_value,cm_discount_type,original_cm_discount_value,cm_discount_value,marketer,brand_name,brand_name_hi,fulfillment_model,source,jit_source,product_type,product_type_id,ean_code,hsn_code,product_gst,shelf_life_days,original_moq,moq,item_size,is_combo,delivery_days,lead_days,product_images,variant_identifier,variant_identifier_hi,discount_type,variant_grammage_unit,variant_grammage_value,variant_grammage,product_weight,variant_for_search,return_window_days,replacement_window_days,allowed_payment_method,brand_categorisation,economic_segment,update_description_md_hi,product_description_md_hi,product_description_md_en,weight,colour,size,material,type,country_of_origin,return_and_replacement,description,disclaimer,variant_identifier2,variant_priority2,variant2_name,variant_priority
Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S1),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S1),Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S1),Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S1),4p_BK,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,4p_BK_U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960243264/4p_bk.jpg,Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S1),Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S1),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Black,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S1),,Black,0
Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S2),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S2),Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S2),Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S2),4p_BLUE,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,4p_BLUE_U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960243269/4p_blue.jpg,Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S2),Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S2),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Blue,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S2),,Blue,0
Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S3),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S3),Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S3),Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S3),4p_GOLD,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,4p_GOLD_U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960243276/4p_gold.jpg,Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S3),Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S3),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Gold,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S2),,Gold,0
Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S4),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S4),Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S4),Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S4),4p_PURPLE,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,4p_PURPLE_U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960243281/4p_purple.jpg,Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S4),Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S4),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Purple,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S2),,Purple,0
Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S5),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S5),Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S5),Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S5),4p_RED,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,4p_RED_U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960243283/4p_red.jpg,Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S5),Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S5),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Red,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S2),,Red,0
Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S6),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S6),Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S6),Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S6),4p_BK.,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,4p_BK._U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960465938/BLACK4P1.jpeg,Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S6),Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S6),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Black,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S6),,Black,0
Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S7),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S7),Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S7),Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S7),4p_BLUE.,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,4p_BLUE._U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960465941/BLUE4P1.jpeg,Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S7),Elegant Collection Stylish Magnet Belt Watch For Men (Blue) (S7),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Blue,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S6),,Blue,0
Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S8),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S8),Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S8),Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S8),4p_GOLD.,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,4p_GOLD._U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960465945/GOLD4P1.jpeg,Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S8),Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S8),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Gold,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S6),,Gold,0
Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S9),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S9),Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S9),Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S9),4p_PURPLE.,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,4p_PURPLE._U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960465950/PURPLE4P1.jpeg,Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S9),Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S9),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Purple,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S6),,Purple,0
Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S10),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S10),Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S10),Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S10),4p_RED.,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,4p_RED._U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960465953/RED4P1.jpeg,Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S10),Elegant Collection Stylish Magnet Belt Watch For Men (Red) (S10),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Red,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S6),,Red,0
Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S11),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S11),Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S11),Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S11),12K_BK.,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,12K_BK._U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960564657/12KBKMAGNET.jpeg,Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S11),Elegant Collection Stylish Magnet Belt Watch For Men (Black) (S11),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Black,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S6),,Black,0
Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S12),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S12),Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S12),Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S12),12K_GOLD.,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,12K_GOLD._U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960564662/12KGOLDMAGNET.jpeg,Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S12),Elegant Collection Stylish Magnet Belt Watch For Men (Gold) (S12),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Gold,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S6),,Gold,0
Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S13),"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S13),Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S13),Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S13),12K_PURPLE.,Box,599,115,percentage_off,0,sell_at,158,158,Elegant Collection,Elegant Collection,Elegant Collection,MARKETPLACE,Elegant Collection,{Elegant Collection},Analog Watches,7358,12K_PURPLE._U,91021900,18,365,3,3,SMALL,FALSE,"{0,1,2,3,4,5,6}",9,https://supplier-prod-temp-files.s3.ap-southeast-1.amazonaws.com/products-upload/1659960564665/12KPURPLEMAGNET.jpeg,Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S13),Elegant Collection Stylish Magnet Belt Watch For Men (Purple) (S13),flat_off,Size,Free Size,Free Size,0.1,Watch,7,7,BOTH,Local,LIG,TRUE,Sample Text,Sample Text,,Purple,Free Size,Metal,Casual,India,"Eligibility for Return – Return processed within 7 days  from delivery
Type Accepted – Refund / Replacement / Exchange For instances, where in the product delivered to a consumer does not meet the expectations of the consumer, the same stands eligible for return/ refund/ exchange depending on the return   policy for the specific product (mentioned in detail further)
A successful reversal of delivery or return is subject to the following conditions at the time of returning the product/s –
1. The product needs to be the exactly and only the product that was delivered
2. Product shall constitute – the product, the original packing/ box of the product, all the tags, undetached MRP, freebies, accessories, all the ancillaries that came with the product
The product shall be in a returnable condition, which means – product is unused, not damaged, in original condition with no stains/ scratches/ tears/ holes and non-tampered with and in some cases without breaking the seal.",Colorful magneic belt  watch for women,Product color may slightly vary due to photographic lighting sources or your monitor settings.,Elegant Collection Stylish Magnet Belt Watch For Men (S6),,Purple,0
